Employee ID,Age,Gender,Department,Experience,Salary,Attendance Percentage,Training Hours,Projects Completed,Overtime Hours,Manager Rating,Performance Rating,Promotion Status
EMP0502,39,Female,Sales,3,51964.5,98.28,59,9,2,1,3.8,0
EMP3129,58,Female,Sales,11,80933.79,92.21,49,3,14,4,4.14,0
EMP3353,33,Male,Finance,7,74504.2,96.62,22,1,16,2,3.2,0
EMP4175,38,Male,Marketing,9,71579.15,94.73,80,2,47,4,4.53,0
EMP1635,40,Male,IT,5,76792.06,94.13,80,3,51,1,3.67,0
EMP1481,37,Male,IT,13,118160.06,98.51,56,3,0,4,3.95,0
EMP2116,30,Female,Finance,4,63386.54,96.0,69,10,29,4,5.0,1
EMP4000,23,Male,Sales,0,44762.63,93.05,30,10,24,5,5.0,0
EMP0562,21,Female,Operations,0,47015.56,92.25,56,6,19,5,4.41,0
EMP4199,26,Female,Sales,2,48809.2,96.43,46,7,20,1,3.68,0
EMP3698,33,Male,HR,8,61278.6,94.88,67,7,12,1,3.54,0
EMP4627,28,Male,HR,7,65202.4,93.38,71,7,58,1,3.93,0
EMP0280,47,Female,IT,3,66025.8,93.91,35,7,47,4,4.74,1
EMP2267,25,Female,HR,1,46219.14,93.52,51,9,33,2,4.4,0
EMP0158,28,Female,IT,4,77160.88,95.24,89,8,11,3,4.47,1
EMP0539,21,Male,HR,0,36773.84,91.31,50,8,30,3,4.59,0
EMP4115,31,Male,Finance,10,88854.15,90.55,90,5,1,4,4.35,0
EMP4458,55,Male,Operations,9,65799.95,97.94,78,8,29,5,5.0,1
EMP1651,33,Male,IT,4,73861.66,91.5,47,1,5,4,3.36,0
EMP3151,28,Male,Marketing,1,41209.74,96.37,88,1,25,4,4.19,0
EMP0765,34,Male,Operations,5,53999.53,93.71,43,1,21,4,3.87,0
EMP1865,30,Female,Operations,0,44477.31,93.69,15,2,22,3,3.33,0
EMP3486,31,Male,IT,6,82456.05,96.95,66,7,26,5,5.0,0
EMP0732,52,Non-binary,HR,8,68170.63,99.89,80,1,2,2,2.83,0
EMP0085,44,Male,Marketing,6,60748.2,94.19,50,5,14,2,3.46,1
EMP2581,30,Male,Operations,7,69036.53,98.96,25,8,54,1,4.27,0
EMP3208,28,Female,Marketing,6,62729.31,87.97,21,3,38,4,4.06,1
EMP2975,55,Male,Sales,1,47453.83,93.74,22,5,0,3,3.62,0
EMP2697,23,Male,HR,1,51409.93,94.92,50,5,35,1,3.21,0
EMP1339,32,Male,Marketing,0,158447.37125,100.0,58,10,3,4,5.0,0
EMP3903,31,Male,Sales,10,74185.46,93.49,17,2,23,4,4.05,0
EMP0912,59,Female,Finance,8,76508.66,94.66,82,1,25,4,4.01,0
EMP0030,35,Male,HR,4,51870.34,92.42,53,4,46,3,4.06,0
EMP0678,37,Male,Operations,0,45352.85,86.88,25,4,49,4,4.16,0
EMP4502,51,Male,Operations,17,92767.03,91.36,24,10,49,3,5.0,1
EMP3686,60,Non-binary,Finance,30,158447.37125,93.715,84,8,25,4,5.0,1
EMP3742,45,Male,Finance,13,98910.91,94.51,82,9,16,4,4.95,1
EMP1621,60,Male,Finance,24,138964.84,96.02,49,1,11,1,2.91,0
EMP0423,24,Female,Sales,1,46244.14,91.54,34,2,30,1,2.72,0
EMP1666,48,Male,IT,13,113365.24,100.0,53,5,2,5,4.72,0
EMP4990,25,Male,Sales,2,48683.99,92.81,20,5,52,2,4.0,0
EMP2728,59,Male,Operations,23,111519.27,93.76,78,4,15,3,4.4,1
EMP3194,22,Male,IT,0,55709.94,93.95,32,8,46,4,4.97,0
EMP3969,55,Male,Marketing,1,48602.19,99.8,88,10,2,3,4.88,0
EMP0169,59,Male,IT,4,76592.47,94.78,77,3,58,4,4.43,1
EMP3835,54,Male,Marketing,20,98008.86,90.25,85,6,37,2,4.27,0
EMP3482,53,Female,Marketing,10,71993.67,95.92,69,1,36,3,3.96,0
EMP3470,42,Male,HR,17,90936.19,93.22,18,5,45,3,4.21,1
EMP0228,36,Female,IT,13,116316.73,96.88,33,4,27,5,4.78,1
EMP2655,50,Female,HR,8,62398.52,92.32,69,1,49,4,4.39,0
EMP0487,37,Female,Marketing,7,60629.43,95.46,34,4,23,3,3.69,0
EMP1695,23,Male,Sales,1,51845.2,94.02,90,6,48,1,3.81,0
EMP1201,56,Male,Finance,23,139628.3,92.8,54,10,53,4,5.0,1
EMP2686,29,Male,Finance,2,61876.3,95.06,26,8,26,3,4.44,1
EMP3173,22,Male,Operations,0,43079.02,99.77,77,3,1,1,2.96,0
EMP0024,32,Male,Marketing,6,58946.15,95.28,46,9,52,1,4.28,1
EMP3085,39,Female,Sales,0,44978.49,96.39,56,10,48,2,4.88,0
EMP3131,25,Female,HR,0,42087.46,95.69,21,6,7,4,4.11,0
EMP2537,31,Female,IT,2,66459.92,96.09,59,2,20,4,3.94,0
EMP2898,21,Male,Operations,0,44076.22,94.26,58,6,42,4,4.86,1
EMP4841,26,Female,HR,1,47915.96,94.21,73,5,22,1,3.27,0
EMP2094,55,Male,Operations,9,65030.36,92.29,40,2,21,3,3.74,0
EMP0240,23,Male,Operations,2,44457.86,93.42,55,8,54,4,5.0,0
EMP3572,24,Female,HR,2,43046.15,89.36,26,9,8,1,3.58,0
EMP3766,26,Male,Marketing,4,48297.69,92.49,28,10,38,4,5.0,0
EMP2017,23,Male,Marketing,1,49517.68,94.16,27,2,60,4,4.29,0
EMP4039,53,Female,Finance,29,157553.57,99.41,85,10,0,4,5.0,1
EMP0298,57,Male,Marketing,9,71956.48,97.45,80,2,37,2,3.55,1
EMP0249,60,Male,Sales,31,146644.19,94.02,82,5,3,5,5.0,1
EMP2136,45,Male,Operations,22,106929.61,95.69,44,3,6,1,3.17,0
EMP0374,46,Male,Marketing,20,109268.3,90.6,70,6,55,2,4.5,1
EMP0882,25,Female,Operations,3,54675.56,100.0,36,7,21,2,3.98,1
EMP2308,52,Female,IT,7,89160.86,100.0,23,8,27,4,5.0,1
EMP3888,29,Female,Finance,3,62204.15,93.21,36,1,27,1,2.68,0
EMP4504,25,Female,Sales,0,45728.71,94.12,90,10,12,5,5.0,0
EMP2992,59,Male,Sales,28,131960.98,93.44,22,5,56,1,4.03,1
EMP0725,24,Male,Marketing,3,51167.71,94.84,57,7,27,4,4.64,1
EMP2221,41,Male,Sales,12,86691.23,92.66,41,8,10,3,4.14,0
EMP2218,37,Male,Sales,1,42241.13,94.02,60,7,19,2,3.96,1
EMP1469,57,Male,HR,12,85457.17,91.1,75,9,57,3,5.0,1
EMP1593,32,Male,Marketing,5,58665.94,89.41,63,4,51,1,3.49,0
EMP3952,21,Female,Sales,0,41124.58,93.07,87,10,5,2,4.4,0
EMP2446,42,Male,Sales,11,82662.9,93.09,12,4,0,5,3.89,1
EMP3092,59,Male,HR,29,119512.49,91.92,32,1,37,1,3.01,0
EMP0928,59,Male,Operations,0,43315.23,82.1,50,2,36,4,3.41,0
EMP4580,37,Male,Operations,11,73998.67,88.91,58,10,37,4,5.0,0
EMP4653,47,Male,Operations,15,85180.44,96.54,72,10,6,1,4.32,1
EMP0600,56,Female,Operations,31,138464.96,97.19,21,2,19,2,3.42,0
EMP1393,25,Non-binary,HR,1,42016.86,98.38,22,8,36,1,3.96,0
EMP2228,49,Female,Operations,7,68255.74,91.57,77,4,59,1,3.85,1
EMP4177,58,Male,Finance,33,158447.37125,86.93,41,1,39,5,4.68,0
EMP1610,53,Male,IT,9,91693.75,95.74,35,2,45,2,3.53,0
EMP4291,52,Male,Sales,11,78345.9,91.81,52,10,44,2,4.51,1
EMP2877,33,Male,Finance,2,57760.04,93.83,60,8,17,3,4.13,0
EMP3289,47,Male,Finance,0,47952.4,93.67,57,1,45,1,3.08,0
EMP2143,33,Female,HR,0,158447.37125,100.0,43,1,39,4,4.27,0
EMP0472,55,Male,Finance,1,52494.59,95.14,70,3,35,1,3.5,0
EMP1245,41,Female,IT,2,62639.94,91.54,86,1,34,2,3.33,0
EMP3691,21,Female,Marketing,0,49066.47,98.72,72,6,28,3,4.33,0
EMP4222,60,Female,IT,17,89045.14,97.12,74,7,57,2,4.75,1
EMP1074,28,Male,Sales,2,51908.79,93.97,88,1,1,2,3.26,0
EMP1045,40,Male,Sales,1,52033.63,89.7,20,8,7,5,4.51,0
EMP1715,45,Non-binary,Marketing,10,73032.43,92.14,68,8,31,1,3.93,0
EMP4041,23,Female,IT,1,59066.24,94.24,30,8,24,4,4.78,0
EMP4779,35,Female,Finance,14,98541.88,91.54,54,10,13,5,5.0,0
EMP1035,26,Female,Operations,3,46489.82,95.61,15,7,59,1,4.18,0
EMP4418,58,Male,IT,37,158447.37125,90.35,19,9,45,3,5.0,1
EMP1753,32,Male,Finance,9,83852.44,88.01,56,4,47,5,5.0,1
EMP3650,43,Male,Finance,21,80323.75,90.63,30,3,2,5,4.39,1
EMP4809,48,Male,IT,26,158447.37125,91.04,63,4,39,4,4.66,1
EMP1555,49,Female,Sales,17,102660.59,91.44,49,10,35,1,4.44,0
EMP4196,24,Male,Operations,1,45152.64,90.6,70,1,44,3,3.66,0
EMP2987,31,Female,Operations,1,63992.48,86.81,79,4,0,2,3.08,0
EMP2722,36,Male,Marketing,3,56698.19,91.95,76,2,21,4,4.02,1
EMP0830,31,Male,IT,5,72591.09,91.54,10,4,6,2,3.31,0
EMP1096,23,Female,Sales,1,45346.68,95.13,76,2,13,3,3.86,0
EMP0427,22,Male,HR,0,37115.24,95.74,82,1,14,1,2.79,0
EMP2146,40,Male,Marketing,9,68573.62,97.43,39,7,23,1,3.7,0
EMP3136,42,Male,Finance,13,98683.51,92.08,23,4,29,5,4.68,1
EMP4161,22,Male,Finance,1,49152.83,96.93,70,3,26,2,3.86,0
EMP4065,37,Male,Finance,2,56277.53,89.88,10,8,20,1,3.54,0
EMP4343,49,Male,Sales,7,63523.09,96.35,54,1,0,2,2.88,0
EMP4952,56,Female,Operations,1,48452.81,93.52,17,2,12,1,2.52,0
EMP3581,21,Male,Sales,0,44393.43,93.89,51,4,33,4,4.49,0
EMP4231,47,Female,Finance,16,110127.69,88.35,72,5,57,2,4.15,0
EMP2663,21,Female,IT,0,56728.69,94.7,90,8,18,3,4.62,0
EMP2706,41,Female,Sales,3,67970.93,96.98,23,5,30,4,4.33,1
EMP1324,21,Non-binary,HR,0,36792.8,99.17,80,1,54,4,4.42,0
EMP4130,57,Male,HR,22,105350.3,95.39,88,8,14,3,4.61,1
EMP3985,59,Male,Marketing,30,65688.93,90.13,62,1,12,1,2.83,0
EMP4826,50,Female,Marketing,4,51318.7,97.83,11,4,0,2,3.09,0
EMP4460,36,Female,Marketing,11,84451.3,94.78,32,1,16,3,3.25,0
EMP2884,41,Female,HR,12,75808.43,90.19,21,6,49,4,4.55,1
EMP2118,22,Female,Finance,1,46409.03,90.02,71,10,52,5,5.0,0
EMP0654,39,Male,HR,17,93248.5,92.84,87,6,8,4,4.4,1
EMP4437,35,Male,Sales,1,48936.56,91.06,54,3,51,2,3.61,0
EMP1019,46,Male,HR,12,71312.02,97.49,45,2,58,5,5.0,0
EMP0089,55,Female,Marketing,6,63599.98,99.73,61,10,17,4,5.0,1
EMP1130,23,Male,Sales,0,48476.26,89.66,81,8,21,4,4.72,0
EMP2653,57,Male,Finance,26,145396.23,97.98,84,2,7,4,4.58,1
EMP0009,31,Male,Marketing,1,47879.47,92.59,71,1,27,3,3.3,0
EMP1887,41,Male,HR,14,77390.23,94.15,47,5,9,3,3.73,1
EMP1663,57,Male,Sales,19,105342.5,98.35,52,10,22,5,5.0,0
EMP3911,38,Male,IT,2,65553.27,91.92,77,2,21,2,3.35,0
EMP0682,41,Male,Finance,14,104656.75,93.67,40,6,37,2,4.11,0
EMP3774,42,Female,Operations,3,44850.16,91.68,16,1,47,5,4.31,0
EMP3659,42,Male,Finance,17,110921.04,93.67,70,8,23,5,5.0,1
EMP0145,40,Male,Sales,5,58853.46,100.0,83,5,16,3,4.2,1
EMP0995,57,Female,IT,3,63839.63,86.01,48,9,38,2,4.24,1
EMP3653,45,Female,Finance,13,97830.89,90.09,75,9,29,4,4.94,1
EMP1742,50,Male,Finance,7,78898.96,96.85,20,7,33,3,4.22,1
EMP3341,56,Male,HR,10,72477.86,100.0,50,6,15,1,3.42,0
EMP3836,42,Male,HR,18,92693.48,91.23,11,7,39,1,3.66,1
EMP2742,34,Male,Sales,2,54042.42,98.71,43,5,27,5,4.7,0
EMP0152,21,Female,HR,0,37699.31,92.53,82,6,29,2,4.22,0
EMP1671,53,Female,Marketing,6,64168.33,88.07,63,7,5,2,3.86,1
EMP3918,58,Male,IT,27,158447.37125,94.6,64,2,38,1,3.57,0
EMP1832,24,Male,Operations,1,45937.96,88.99,16,1,56,1,2.94,0
EMP0241,40,Female,Marketing,8,73814.28,93.67,63,7,6,1,3.54,0
EMP0849,32,Female,Finance,2,48524.61,92.37,24,9,4,3,4.09,0
EMP2173,27,Male,Sales,2,55138.99,96.57,48,2,5,3,3.49,0
EMP1882,35,Male,Sales,0,42206.5,94.03,10,4,6,1,2.57,0
EMP0857,33,Male,Finance,8,81409.94,92.93,69,7,0,2,3.77,0
EMP3356,33,Male,Finance,12,90064.69,99.31,44,4,20,1,3.42,0
EMP1414,60,Female,Marketing,26,124877.76,95.37,53,7,44,5,5.0,1
EMP0965,32,Female,IT,3,68687.3,92.16,79,1,59,2,3.59,0
EMP1418,33,Male,Operations,6,62103.98,93.09,39,5,47,3,4.22,1
EMP2750,35,Male,Sales,5,60917.79,92.78,13,6,24,4,4.6,1
EMP0458,54,Female,HR,25,108025.5,90.51,62,10,43,3,5.0,1
EMP1104,34,Male,HR,10,67210.46,96.69,27,8,28,5,4.71,1
EMP1437,52,Female,Finance,0,48277.14,94.57,60,6,41,5,5.0,0
EMP4760,26,Female,Finance,2,57197.79,88.05,61,5,28,5,4.66,0
EMP4085,22,Male,IT,0,52558.08,87.81,29,10,28,4,5.0,0
EMP1591,44,Male,Operations,6,57431.02,94.72,57,2,43,1,3.32,0
EMP3387,50,Male,Sales,3,53946.09,91.01,45,1,19,5,3.74,0
EMP0466,56,Male,Sales,22,119225.74,99.39,52,2,19,1,3.28,0
EMP2674,45,Female,Sales,8,70293.2,87.06,81,10,19,4,5.0,1
EMP3258,52,Male,Finance,14,105835.68,93.24,19,6,53,1,3.92,0
EMP4294,47,Female,Finance,5,61732.7,93.4,23,2,18,1,2.54,0
EMP1787,41,Female,Sales,18,103601.84,91.84,45,10,23,3,4.74,1
EMP1719,26,Male,Sales,2,51813.28,97.6,43,9,41,3,4.95,0
EMP0101,43,Female,Finance,8,74660.82,89.74,81,3,17,3,3.66,0
EMP4029,31,Female,IT,2,65464.04,94.94,12,10,55,5,5.0,1
EMP1706,43,Male,Finance,22,129775.28,99.48,28,7,23,3,4.56,1
EMP3320,33,Female,Finance,4,63895.01,95.87,40,3,15,2,3.38,0
EMP1050,27,Male,Operations,5,59375.33,94.25,73,4,13,4,4.16,0
EMP1407,25,Male,Sales,2,55547.3,86.24,62,1,34,4,3.63,1
EMP3626,23,Female,Finance,0,46841.29,89.71,55,8,55,5,5.0,0
EMP4193,59,Male,Finance,0,42940.29,96.01,78,8,25,4,4.96,0
EMP1254,45,Male,HR,14,81044.24,90.38,38,10,30,4,5.0,1
EMP4739,58,Female,Marketing,17,95612.0,100.0,43,10,16,5,5.0,0
EMP2421,60,Female,HR,19,94797.54,98.17,58,8,34,1,4.41,0
EMP4274,40,Male,Finance,5,70404.77,92.43,49,5,54,3,4.5,1
EMP2848,32,Male,Sales,6,62515.93,96.18,66,3,44,4,4.66,0
EMP1057,52,Male,Operations,7,64619.01,93.62,12,10,51,3,4.2,1
EMP2073,22,Male,Sales,1,45746.19,97.14,56,10,6,3,4.67,1
EMP1727,21,Female,Sales,0,49122.41,94.7,58,8,1,2,3.81,1
EMP4253,51,Male,Sales,24,120755.68,95.02,18,2,45,3,4.0,0
EMP3362,37,Male,IT,13,111565.57,93.22,19,3,23,3,4.09,0
EMP1296,24,Male,IT,1,61190.23,91.68,57,7,54,4,5.0,1
EMP3593,39,Female,Finance,8,75577.07,90.07,75,9,25,2,4.35,0
EMP3489,26,Female,Operations,1,44721.47,93.57,57,3,53,2,3.8,0
EMP1293,43,Male,Finance,16,109700.53,94.17,77,3,20,4,4.49,0
EMP0590,30,Female,Operations,3,53293.26,96.28,62,5,12,1,3.33,0
EMP4117,52,Male,Operations,14,82429.2,98.78,43,3,30,5,4.82,0
EMP2838,41,Male,HR,9,61452.39,94.15,44,5,37,1,3.44,0
EMP4611,42,Male,IT,7,89885.78,96.74,88,4,45,5,5.0,1
EMP0932,27,Male,Marketing,1,48378.43,94.4,63,3,41,2,3.96,0
EMP1171,37,Non-binary,Sales,14,85845.72,94.64,51,8,0,3,4.4,1
EMP3168,25,Male,Marketing,0,47129.7,96.28,57,2,23,3,3.67,0
EMP1700,53,Male,Marketing,19,95368.88,98.82,38,6,53,4,5.0,1
EMP2620,39,Male,HR,11,75062.56,100.0,46,7,40,1,3.99,0
EMP0684,22,Non-binary,Sales,1,47100.19,91.72,45,10,7,5,5.0,0
EMP0231,21,Female,Marketing,0,53852.35,94.6,69,9,8,5,5.0,0
EMP4606,48,Female,Sales,12,87428.24,93.49,12,4,0,3,3.54,1
EMP3409,43,Male,Finance,4,69127.12,94.67,90,6,21,4,4.93,1
EMP4323,50,Male,Sales,24,128222.91,92.04,87,10,42,4,5.0,1
EMP4047,33,Male,HR,7,58901.66,88.71,90,1,16,2,3.25,0
EMP2408,26,Male,IT,5,81315.09,90.05,56,5,46,5,4.92,1
EMP2338,33,Male,IT,6,84882.22,97.62,29,7,33,3,4.63,1
EMP4052,49,Female,Sales,21,110621.5,97.11,23,7,25,1,3.89,0
EMP0297,55,Male,Marketing,24,115538.57,89.15,73,4,51,3,4.46,1
EMP4750,34,Female,Finance,5,67730.86,84.31,75,6,3,4,4.26,1
EMP3781,33,Male,Operations,0,46081.01,92.97,69,5,51,2,4.12,0
EMP1174,58,Male,Marketing,27,130260.13,91.33,16,1,49,5,4.56,1
EMP3128,39,Male,HR,17,89217.93,92.9,70,4,1,2,3.22,0
EMP3036,43,Male,Finance,4,59107.9,95.12,75,2,40,2,3.55,0
EMP0743,32,Male,Operations,5,60670.19,96.56,81,2,13,1,3.03,0
EMP3941,54,Male,IT,30,158447.37125,100.0,68,3,33,2,4.05,0
EMP3869,39,Male,Sales,11,80204.97,92.76,67,8,1,1,3.88,0
EMP0506,32,Male,Finance,9,84571.85,91.67,15,3,59,2,3.69,1
EMP4601,48,Male,HR,22,102714.4,100.0,25,2,51,5,4.88,0
EMP4259,35,Male,Finance,0,47073.71,100.0,55,8,59,5,5.0,0
EMP1486,38,Female,HR,17,89843.43,87.28,29,10,34,3,4.95,0
EMP1420,26,Male,Operations,3,47846.88,93.27,20,2,54,1,2.86,0
EMP3099,37,Female,Finance,15,105234.23,100.0,45,7,55,4,5.0,1
EMP1686,54,Male,Operations,11,79805.14,91.28,78,6,54,5,5.0,1
EMP4726,51,Male,HR,18,92473.94,94.5,72,9,51,1,4.64,1
EMP0334,56,Male,Operations,8,65290.72,98.51,30,1,40,4,3.95,0
EMP0469,29,Male,IT,8,93461.82,95.0,80,9,13,1,3.94,0
EMP3451,31,Male,HR,4,52748.95,97.42,16,1,4,2,2.52,0
EMP3106,31,Male,Finance,7,70166.68,90.29,20,1,53,2,3.32,0
EMP1435,43,Female,IT,3,73371.53,93.02,33,7,13,1,3.38,0
EMP0150,59,Male,HR,29,122191.39,100.0,64,10,58,3,5.0,0
EMP4032,39,Male,Operations,1,46309.28,91.41,44,7,42,5,4.91,0
EMP0415,56,Male,Finance,27,146608.05,93.09,56,6,47,4,5.0,1
EMP1306,54,Male,IT,1,59344.91,92.52,83,2,1,1,2.6,0
EMP2630,41,Female,Operations,5,56730.93,96.06,17,6,20,5,4.6,0
EMP1127,40,Female,IT,5,80226.29,86.72,32,1,41,5,3.36,0
EMP3693,59,Male,Finance,11,86507.07,96.0,19,6,9,1,3.24,0
EMP0013,60,Male,Finance,32,158447.37125,86.71,54,10,55,3,5.0,1
EMP0094,48,Female,HR,26,115601.41,91.88,11,6,35,3,4.25,1
EMP3658,36,Female,Operations,13,80906.47,94.23,35,8,57,2,4.68,1
EMP1542,38,Male,Sales,0,44600.05,98.64,37,1,38,5,4.74,0
EMP4373,54,Male,Finance,0,53200.32,94.35,41,7,57,4,4.98,1
EMP3760,32,Female,Marketing,2,53425.69,96.36,32,1,37,4,3.93,0
EMP3734,26,Male,Operations,0,43603.14,87.51,38,5,31,4,4.17,1
EMP3768,25,Male,Operations,2,51356.05,92.21,29,1,12,4,3.44,0
EMP2903,28,Male,Operations,4,55539.37,89.35,65,2,40,2,3.3,0
EMP0734,41,Male,Marketing,15,89114.23,98.48,29,10,16,4,4.95,0
EMP3498,38,Male,Operations,16,89585.36,96.88,72,4,13,4,4.38,1
EMP4126,45,Female,Sales,10,76360.11,92.16,86,6,44,3,4.81,1
EMP1785,36,Female,Finance,11,91175.8,92.8,15,5,49,3,4.52,0
EMP2182,57,Female,IT,3,69068.0,93.28,76,3,14,5,4.38,0
EMP0417,51,Male,IT,24,158447.37125,82.02,32,1,56,2,3.4,0
EMP2317,37,Male,Finance,7,76602.07,93.35,83,9,12,2,4.35,1
EMP4326,48,Male,Finance,18,114400.06,98.1,61,3,29,2,3.81,0
EMP4178,23,Female,Operations,2,50467.96,89.9,42,6,10,4,4.19,1
EMP1095,57,Male,Sales,25,125237.61,90.65,20,9,51,3,4.96,1
EMP0747,46,Male,Sales,1,51333.16,95.66,19,1,54,4,4.21,0
EMP3900,25,Male,Marketing,4,55409.57,92.76,46,9,41,5,5.0,1
EMP3980,45,Male,HR,11,68398.9,95.34,81,6,57,2,4.64,1
EMP2688,26,Male,HR,4,65215.82,91.15,15,2,18,3,3.22,0
EMP3018,51,Male,Finance,10,88384.78,92.25,15,3,29,5,4.33,1
EMP1993,52,Female,Sales,2,54278.49,89.89,16,10,52,4,5.0,1
EMP4905,22,Male,Sales,0,49107.34,94.02,24,4,27,4,4.15,0
EMP2652,52,Male,Finance,5,62314.36,98.05,84,6,31,3,4.7,1
EMP2851,22,Female,Sales,1,48319.59,99.74,30,7,16,4,4.76,0
EMP2859,26,Female,Marketing,5,54378.7,93.96,29,7,41,5,5.0,1
EMP3528,57,Female,Operations,33,144155.39,95.55,19,7,50,3,4.71,1
EMP4243,36,Male,Marketing,3,50492.18,92.48,82,3,56,3,4.4,0
